"","Plot","Treatment","Site","Site_Name","Subplot","Collection_Date","Ehrharta_erecta","Rubus_ursinus","Fragaria_vesca","Stachys_bullata","Clinopodium_douglasii","Symphoricarpos_albus_var_laevigatus","Symphoricarpos_mollis","Symphoricarpos_sp","Caprifoliaceae_sp","Lonicera_hispidula","Carex_globosa","Geranium_molle","Toxicodendron_diversilobum","Juncus_patens","Psuedotsuga_menziezii","Cotoneaster_pannosus","Polystichum_munitum","Dryopteris_arguta","Pteridium_aquilinum_var_pubescens","Quercus_agrifolia","Umbellularia_californica","Iris_douglasiana","Adenalcolen_bicolor","Viola_ocellata","Maianthemum_racemosa","Melica_subulata","Eurybia_radulina","Galium_californicum","Galium_triflorum","Unk_Aster_1","Unk_1","Unk_2","Unk_Aster_2","Unk_3"
"1","2_Control","Control",2,"McHenry_Dumpster","1st","Oct 2014",38,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","2_Control","Control",2,"McHenry_Dumpster","2nd ","Oct 2014",45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","2_Control","Control",2,"McHenry_Dumpster","3rd","Oct 2014",46,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","2_Herbicide","Herbicide",2,"McHenry_Dumpster","1st","Oct 2014",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","2_Herbicide","Herbicide",2,"McHenry_Dumpster","2nd ","Oct 2014",12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","2_Herbicide","Herbicide",2,"McHenry_Dumpster","3rd","Oct 2014",8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","2_Pull","Pull",2,"McHenry_Dumpster","1st","Oct 2014",94,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"8","2_Pull","Pull",2,"McHenry_Dumpster","2nd ","Oct 2014",116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2_Pull","Pull",2,"McHenry_Dumpster","3rd","Oct 2014",11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","3_Control","Control",3,"McHenry_Valley","1st","Oct 2014",247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","3_Control","Control",3,"McHenry_Valley","2nd ","Oct 2014",131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","3_Control","Control",3,"McHenry_Valley","3rd","Oct 2014",78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","3_Herbicide","Herbicide",3,"McHenry_Valley","1st","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","3_Herbicide","Herbicide",3,"McHenry_Valley","2nd ","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","3_Herbicide","Herbicide",3,"McHenry_Valley","3rd","Oct 2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","3_Pull","Pull",3,"McHenry_Valley","1st","Oct 2014",11,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","3_Pull","Pull",3,"McHenry_Valley","2nd ","Oct 2014",29,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","3_Pull","Pull",3,"McHenry_Valley","3rd","Oct 2014",38,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","4_Control","Control",4,"Meyer_Heller","1st","Oct 2014",161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0
"20","4_Control","Control",4,"Meyer_Heller","2nd ","Oct 2014",117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"21","4_Control","Control",4,"Meyer_Heller","3rd","Oct 2014",109,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","4_Herbicide","Herbicide",4,"Meyer_Heller","1st","Oct 2014",59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"23","4_Herbicide","Herbicide",4,"Meyer_Heller","2nd ","Oct 2014",223,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"24","4_Herbicide","Herbicide",4,"Meyer_Heller","3rd","Oct 2014",254,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"25","4_Pull","Pull",4,"Meyer_Heller","1st","Oct 2014",34,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","4_Pull","Pull",4,"Meyer_Heller","2nd ","Oct 2014",245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"27","4_Pull","Pull",4,"Meyer_Heller","3rd","Oct 2014",172,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
